tipo	fabricante	modelo	portas/capacidade	autonomia	ano	placa	renavam	chassi	reservado
carro	Fiat	Uno	2	9.31	2017	PGA-6164	85154039985	9BD0ZZT3V8DDYF04R	False
van	Fiat	Ducato	10	14.5	2015	PNR-5390	21365250978	9BDBSJ67N76PJVGI4	False
carro	Chevrolet	Prisma	4	9.71	2017	PJZ-7931	53232166497	9BG6Z39CEL1A5FG5V	False
carro	Ford	Ka+	4	8.2	2015	PIX-8592	68053410199	9BFWD7KVOAI0XBWID	False
van	Fiat	Ducato	15	11.81	2017	ONE-4930	35084069126	9BD2D9NFVVLX26JJ5	True
carro	Volkswagen	Gol	2	13.38	2017	PPH-7057	09296117932	9BWBIRPEQVXRQRPL3	False
van	Fiat	Ducato	15	14.93	2016	PPQ-7420	61297890469	9BDFPVUB3MEKY4TH1	False
ute	Fiat	Ducato	1800	11.62	2015	PDA-7992	63330973238	9BDR2KFPWMZASS8CM	True
carro	Honda	Civic	4	14.04	2017	PML-1995	97706302917	93H8ZW3DMRCU07TOI	False
van	Mercedes-Benz	Sprinter	15	14.16	2015	PIM-0677	63438653700	9BM7D6TFGL13BAH94	False
carro	Honda	Civic	4	10.16	2015	PET-1799	46589817892	93H5HN05HBWY6C51M	False
ute	Mercedes-Benz	Sprinter	1800	10.3	2016	OLM-7556	54700563072	9BM2OTSBR2MCWEHJX	False
van	Fiat	Ducato	7	4.57	2015	PKG-9445	97371310107	9BD17ZKTVMEDH0P4F	False
carro	Ford	Ka+	2	9.49	2016	PDU-0401	49749586400	9BFVMOG13Z08ED3LH	False
carro	Ford	Ka+	4	12.27	2017	PAS-5814	80028310615	9BFT63LRW7PLRHHNM	False
ute	Mercedes-Benz	Sprinter	1800	10.53	2017	PKE-9777	91607877461	9BMM4GY64QRSYXOFK	False
carro	Fiat	Uno	4	7.13	2014	POT-1492	43585348002	9BDBX9GMNS6SH1BZO	False
ute	Mercedes-Benz	Sprinter	1800	14.56	2014	PIP-8020	10859298184	9BMFU5T8SSAU2VFDP	False
van	Mercedes-Benz	Sprinter	12	9.9	2015	PNR-4715	89790595161	9BMTW7TSJWTC5HB4J	False
carro	Fiat	Uno	4	9.46	2017	OQB-9321	42243600831	9BD8OO3L3F9AUNHD3	False
carro	Chevrolet	Spin	4	13.9	2016	OGR-4722	61542103530	9BGWWWLY8HN16H801	False
carro	Volkswagen	Gol	4	12.56	2017	PSG-5632	17162195750	9BWDZ9VFBJYJTAZDG	False
van	Mercedes-Benz	Sprinter	12	10.92	2016	PKN-1161	65565054485	9BMNGNZWFSBCDG8FG	False
carro	Renault	Sandero	4	12.58	2014	PRG-0249	23862022060	93YJ9F08TRP0OH175	False
carro	Volkswagen	Gol	4	11.49	2017	PQZ-2073	96872472449	9BW1I831IT6H9ZJQJ	False
van	Fiat	Ducato	14	9.95	2017	PKW-7265	47425908572	9BDJXKR6SVS26EMUE	False
carro	Volkswagen	Gol	2	9.37	2017	PKE-3654	54968416920	9BWMGDRC1X7GP2Y5J	False
van	Fiat	Ducato	14	14.07	2017	OPK-8233	40801887916	9BDSG2OGKR3Q9EM9F	False
